hierarchy,title,field,subsection title,subsection content,record_id
TC,Dynamic Limit Propagation Validation,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for RAPL limit propagation and frequency enforcement.",1.1.1.1
TC,Dynamic Limit Propagation Validation,description,Validation SW *,"Tool and Content Requirements: Use OSBV/SVOS (latest supported version), PMON (latest), Perspec path, PythonSV, Supercollider, and Prime95 for workload generation. Map OS-level utilities for register checks and stress patterns.",1.1.1.1
TC,Dynamic Limit Propagation Validation,description,Ecosystem SW *,Test Requirements: BIOS version/config/knobs set for RAPL and CSR lock; OS kernel and scheduler settings for workload bursts; PCIe/graphics/storage drivers at validated versions; registry keys and OS overrides for power management.,1.1.1.1
TC,Dynamic Limit Propagation Validation,description,Test HW Requirements and HW Configuration *,"Platform with correct SoC stepping, TDP, and parameters; topology with all sockets, DIMMs, PCIe devices, and power rails; DIMM and PCIe device details; thermal solution as specified; debug instrumentation and power measurement setup.",1.1.1.1
TC,Randomized Limit Change Order and Magnitude,description,TC Description *,"Randomize the order and magnitude of Socket RAPL PL1/PL2 limit changes, including values above and below TDP, and monitor the propagation of RAPL_PERF_LIMIT and LEAF_PERF_STATUS HPM messages. Ensure frequency ceilings are respected at all hierarchy levels.",1.1.1.2
TC,Randomized Limit Change Order and Magnitude,description,Test Steps *,"1. Initialize platform with BIOS-locked CSR and enabled Socket RAPL. 2. Generate a randomized sequence of PL1/PL2 limit changes, covering values above TDP, below TDP, and down to fuse minimums. 3. Apply each limit change via CSR/TPMI. 4. At each step, sample RAPL_PERF_LIMIT HPM messages at root IMH, leaf IMH, and CBB. 5. Sample LEAF_PERF_STATUS HPM messages from CBBs. 6. Observe core and uncore frequencies. 7. Analyze propagation and enforcement.",1.1.1.2
TC,Randomized Limit Change Order and Magnitude,description,Pass/Fail Criteria &amp; HW Errors *,"Pass if all domains are constrained by the most restrictive limit at each step, and frequency ceilings are respected. Fail if any domain operates above the propagated limit or status messages are inconsistent.",1.1.1.2
TC,Randomized Limit Change Order and Magnitude,description,Intent Verify *,"Use PMON, Visa, and HPM message logs to verify correct propagation and enforcement of limits.",1.1.1.2
TC,Randomized Limit Change Order and Magnitude,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for limit propagation and frequency enforcement.",1.1.1.2
TC,Randomized Limit Change Order and Magnitude,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS (latest), PMON, Perspec path, PythonSV, Supercollider, Prime95. OS utilities for register checks and stress patterns.",1.1.1.2
TC,Randomized Limit Change Order and Magnitude,description,Ecosystem SW *,Test Requirements: BIOS config/knobs for RAPL and CSR lock; OS kernel/scheduler settings; PCIe/graphics/storage drivers; registry keys and OS overrides.,1.1.1.2
TC,Randomized Limit Change Order and Magnitude,description,Test HW Requirements and HW Configuration *,"Platform with correct SoC stepping, TDP, topology, DIMMs, PCIe devices, thermal solution, debug instrumentation, and power measurement setup.",1.1.1.2
TC,Frequency Ceiling Enforcement and Status Consistency,description,TC Description *,"At each dynamic limit change, verify that core and uncore frequencies on all CBBs do not exceed the propagated limit. Confirm LEAF_PERF_STATUS HPM messages indicate throttling when requested frequencies exceed the limit.",1.1.1.3
TC,Frequency Ceiling Enforcement and Status Consistency,description,Test Steps *,"1. Boot platform with BIOS-locked CSR and enabled Socket RAPL. 2. Set initial PL1/PL2 limits above TDP. 3. Dynamically reduce limits in steps, including values below TDP. 4. At each step, generate workloads to drive CBBs to request maximum frequencies. 5. Sample core and uncore frequencies and LEAF_PERF_STATUS HPM messages. 6. Analyze if frequencies are clipped to the propagated limit and status messages reflect throttling.",1.1.1.3
TC,Frequency Ceiling Enforcement and Status Consistency,description,Pass/Fail Criteria &amp; HW Errors *,Pass if frequencies are always clipped to the propagated limit and LEAF_PERF_STATUS indicates throttling when requests exceed the limit. Fail if frequencies exceed the limit or status messages are inconsistent.,1.1.1.3
TC,Frequency Ceiling Enforcement and Status Consistency,description,Intent Verify *,"Use PMON, Visa, and HPM message logs to confirm frequency ceiling enforcement and status consistency.",1.1.1.3
TC,Frequency Ceiling Enforcement and Status Consistency,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for frequency enforcement and status reporting.",1.1.1.3
TC,Frequency Ceiling Enforcement and Status Consistency,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS (latest), PMON, Perspec path, PythonSV, Supercollider, Prime95. OS utilities for register checks and stress patterns.",1.1.1.3
TC,Frequency Ceiling Enforcement and Status Consistency,description,Ecosystem SW *,Test Requirements: BIOS config/knobs for RAPL and CSR lock; OS kernel/scheduler settings; PCIe/graphics/storage drivers; registry keys and OS overrides.,1.1.1.3
TC,Frequency Ceiling Enforcement and Status Consistency,description,Test HW Requirements and HW Configuration *,"Platform with correct SoC stepping, TDP, topology, DIMMs, PCIe devices, thermal solution, debug instrumentation, and power measurement setup.",1.1.1.3
TCD,Throttling Enforcement When IPs Request Frequencies Above Propagated Limits,description,Description *,"Validate that IPs are throttled when requesting frequencies above the propagated RAPL_PERF_LIMIT, and status registers reflect correct limiting reason.",1.1.2
TCD,Throttling Enforcement When IPs Request Frequencies Above Propagated Limits,description,Algorithm of Testing *,"Generate workload bursts on CBBs to request frequencies above RAPL_PERF_LIMIT, monitor frequency clipping, LEAF_PERF_STATUS, and fast_throttle assertion.",1.1.2
TCD,Throttling Enforcement When IPs Request Frequencies Above Propagated Limits,description,Randomization *,Randomly vary number of CBBs and magnitude of frequency requests to cover different scenarios.,1.1.2
TCD,Throttling Enforcement When IPs Request Frequencies Above Propagated Limits,description,Required Configurations and Dependencies *,"Socket RAPL, Fast RAPL, Platform RAPL enabled and configured; all CBBs and IMHs operational.",1.1.2
TCD,Throttling Enforcement When IPs Request Frequencies Above Propagated Limits,description,Coverage *,"Monitor core and uncore frequency requests, actual frequencies, LEAF_PERF_STATUS HPM messages, and IO_THERM_INDICATIONS.FAST_RAPL_THROTTLE[22].",1.1.2
TCD,Throttling Enforcement When IPs Request Frequencies Above Propagated Limits,description,Cross-Feature Interaction *,RAPL_PERF_LIMIT propagated from root IMH to leaf IMHs and CBBs; CBB Pcode enforces throttling and updates LEAF_PERF_STATUS; fast_throttle asserted when limits are exceeded.,1.1.2
TCD,Throttling Enforcement When IPs Request Frequencies Above Propagated Limits,description,DFx Requirements *,Throttling enforced by clock division and architectural throttling (1:8); fast_throttle asserted when limit is below Pm.,1.1.2
TC,Frequency Request Above Limit Enforcement,description,TC Description *,"Configure Socket RAPL, Fast RAPL, and Platform RAPL limits so that the computed frequency ceiling is below maximum turbo but above Pm. Generate workload bursts on selected CBBs to request core and uncore frequencies above RAPL_PERF_LIMIT. Monitor actual frequencies, LEAF_PERF_STATUS HPM messages, and IO_THERM_INDICATIONS.FAST_RAPL_THROTTLE[22] for fast_throttle assertion.",1.1.2.1
TC,Frequency Request Above Limit Enforcement,description,Test Steps *,"1. Boot platform and enable/configure Socket RAPL, Fast RAPL, and Platform RAPL. 2. Set limits so frequency ceiling is below turbo but above Pm. 3. Generate workload bursts on selected CBBs to request frequencies above RAPL_PERF_LIMIT. 4. Monitor core and uncore frequency requests and actual operating frequencies. 5. Sample LEAF_PERF_STATUS HPM messages from each CBB. 6. Sample IO_THERM_INDICATIONS.FAST_RAPL_THROTTLE[22]. 7. Record and analyze results.",1.1.2.1
TC,Frequency Request Above Limit Enforcement,description,Pass/Fail Criteria &amp; HW Errors *,"Pass if actual frequencies are clipped to the propagated limit, LEAF_PERF_STATUS increments for the corresponding limiter, and fast_throttle is asserted when limit is below Pm. Fail if frequencies exceed the limit or status registers are inconsistent.",1.1.2.1
TC,Frequency Request Above Limit Enforcement,description,Intent Verify *,"Use PMON, Visa, and HPM message logs to confirm frequency clipping, status reporting, and fast_throttle assertion.",1.1.2.1
TC,Frequency Request Above Limit Enforcement,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for throttling enforcement and fast_throttle assertion.",1.1.2.1
TC,Frequency Request Above Limit Enforcement,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS (latest), PMON, Perspec path, PythonSV, Supercollider, Prime95. OS utilities for register checks and stress patterns.",1.1.2.1
TC,Frequency Request Above Limit Enforcement,description,Ecosystem SW *,Test Requirements: BIOS config/knobs for RAPL and throttling; OS kernel/scheduler settings; PCIe/graphics/storage drivers; registry keys and OS overrides.,1.1.2.1
TC,Frequency Request Above Limit Enforcement,description,Test HW Requirements and HW Configuration *,"Platform with correct SoC stepping, TDP, topology, DIMMs, PCIe devices, thermal solution, debug instrumentation, and power measurement setup.",1.1.2.1
TC,Fast Throttle Assertion Below Pm,description,TC Description *,Set RAPL limits so that the computed frequency ceiling is below Pm. Generate workloads to request frequencies above the limit. Monitor IO_THERM_INDICATIONS.FAST_RAPL_THROTTLE[22] for fast_throttle assertion and verify architectural throttling is triggered.,1.1.2.2
TC,Fast Throttle Assertion Below Pm,description,Test Steps *,1. Boot platform and configure RAPL limits so frequency ceiling is below Pm. 2. Generate workloads on CBBs to request frequencies above the limit. 3. Sample IO_THERM_INDICATIONS.FAST_RAPL_THROTTLE[22] and LEAF_PERF_STATUS HPM messages. 4. Observe core clock division and architectural throttling (1:8). 5. Record and analyze results.,1.1.2.2
TC,Fast Throttle Assertion Below Pm,description,Pass/Fail Criteria &amp; HW Errors *,"Pass if fast_throttle is asserted, architectural throttling is triggered, and LEAF_PERF_STATUS increments for the limiter. Fail if fast_throttle is not asserted or throttling is not enforced.",1.1.2.2
TC,Fast Throttle Assertion Below Pm,description,Intent Verify *,"Use PMON, Visa, and HPM message logs to confirm fast_throttle assertion and architectural throttling.",1.1.2.2
TC,Fast Throttle Assertion Below Pm,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for fast_throttle and architectural throttling.",1.1.2.2
TC,Fast Throttle Assertion Below Pm,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS (latest), PMON, Perspec path, PythonSV, Supercollider, Prime95. OS utilities for register checks and stress patterns.",1.1.2.2
TC,Fast Throttle Assertion Below Pm,description,Ecosystem SW *,Test Requirements: BIOS config/knobs for RAPL and throttling; OS kernel/scheduler settings; PCIe/graphics/storage drivers; registry keys and OS overrides.,1.1.2.2
TC,Fast Throttle Assertion Below Pm,description,Test HW Requirements and HW Configuration *,"Platform with correct SoC stepping, TDP, topology, DIMMs, PCIe devices, thermal solution, debug instrumentation, and power measurement setup.",1.1.2.2
TC,Status Register Consistency During Throttling,description,TC Description *,"During workload bursts that request frequencies above the propagated limit, verify that LEAF_PERF_STATUS increments only for the active limiter and status registers reflect the correct limiting reason.",1.1.2.3
TC,Status Register Consistency During Throttling,description,Test Steps *,1. Boot platform and configure RAPL limits. 2. Generate workload bursts on CBBs to request frequencies above the limit. 3. Sample LEAF_PERF_STATUS HPM messages and IO_THERM_INDICATIONS.FAST_RAPL_THROTTLE[22]. 4. Observe status register updates and limiting reason. 5. Record and analyze results.,1.1.2.3
TC,Status Register Consistency During Throttling,description,Pass/Fail Criteria &amp; HW Errors *,Pass if LEAF_PERF_STATUS increments only for the active limiter and status registers reflect correct limiting reason. Fail if status registers are inconsistent or multiple limiters are reported simultaneously.,1.1.2.3
TC,Status Register Consistency During Throttling,description,Intent Verify *,"Use PMON, Visa, and HPM message logs to confirm status register consistency and correct limiting reason.",1.1.2.3
TC,Status Register Consistency During Throttling,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for status register consistency.",1.1.2.3
TC,Status Register Consistency During Throttling,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS (latest), PMON, Perspec path, PythonSV, Supercollider, Prime95. OS utilities for register checks and stress patterns.",1.1.2.3
TC,Status Register Consistency During Throttling,description,Ecosystem SW *,Test Requirements: BIOS config/knobs for RAPL and throttling; OS kernel/scheduler settings; PCIe/graphics/storage drivers; registry keys and OS overrides.,1.1.2.3
TC,Status Register Consistency During Throttling,description,Test HW Requirements and HW Configuration *,"Platform with correct SoC stepping, TDP, topology, DIMMs, PCIe devices, thermal solution, debug instrumentation, and power measurement setup.",1.1.2.3
TCD,Limit Reason Propagation and Status Reporting Consistency,description,Description *,"Validate consistent propagation of limit reason and status reporting across Socket RAPL, Fast RAPL, Platform RAPL, and RACL, ensuring only one limiter bit is set and status fields update correctly.",1.1.3
TCD,Limit Reason Propagation and Status Reporting Consistency,description,Algorithm of Testing *,"Program different combinations of limits, randomize which is most restrictive, generate workloads above the tightest limit, and monitor HPM messages and status fields.",1.1.3
TCD,Limit Reason Propagation and Status Reporting Consistency,description,Randomization *,Randomize which limit is the tightest at each step and generate workloads to request frequencies above the limit.,1.1.3
TCD,Limit Reason Propagation and Status Reporting Consistency,description,Required Configurations and Dependencies *,"Socket RAPL, Fast RAPL, Platform RAPL, and RACL enabled; all IMHs and CBBs operational.",1.1.3
TCD,Limit Reason Propagation and Status Reporting Consistency,description,Coverage *,Sample RAPL_PERF_LIMIT and LEAF_PERF_STATUS HPM messages at all hierarchy levels; observe limiter bit and status field updates.,1.1.3
TCD,Limit Reason Propagation and Status Reporting Consistency,description,Cross-Feature Interaction *,Root IMH and leaf IMH propagate minimum resolved limit and corresponding limiter bit; CBB Pcode updates LEAF_PERF_STATUS for active limiter.,1.1.3
TCD,Limit Reason Propagation and Status Reporting Consistency,description,DFx Requirements *,RAPL_PERF_LIMIT HPM message contains flag bitfields programmed in 1-hot manner; only one flag set at any time based on priority.,1.1.3
TC,Limiter Bit Consistency Validation,description,TC Description *,"Program different combinations of Socket RAPL, Platform RAPL, Fast RAPL, and RACL limits so that at various times, each is the most restrictive. At each configuration, generate workloads on CBBs to request frequencies above the tightest limit. Sample RAPL_PERF_LIMIT HPM messages at each hierarchy level and observe which limiter bit is set.",1.1.3.1
TC,Limiter Bit Consistency Validation,description,Test Steps *,"1. Boot platform and enable/configure Socket RAPL, Platform RAPL, Fast RAPL, and RACL. 2. Program different combinations of limits, ensuring each is most restrictive at different times. 3. At each configuration, generate workloads on CBBs to request frequencies above the tightest limit. 4. Sample RAPL_PERF_LIMIT HPM messages at root IMH, leaf IMH, and CBB. 5. Observe which limiter bit is set. 6. Record and analyze results.",1.1.3.1
TC,Limiter Bit Consistency Validation,description,Pass/Fail Criteria &amp; HW Errors *,"Pass if at any time, only one limiter bit is set in RAPL_PERF_LIMIT (1-hot). Fail if multiple bits are set or limiter bit does not match the most restrictive limit.",1.1.3.1
TC,Limiter Bit Consistency Validation,description,Intent Verify *,"Use PMON, Visa, and HPM message logs to confirm limiter bit consistency.",1.1.3.1
TC,Limiter Bit Consistency Validation,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for limiter bit consistency.",1.1.3.1
TC,Limiter Bit Consistency Validation,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS (latest), PMON, Perspec path, PythonSV, Supercollider, Prime95. OS utilities for register checks and stress patterns.",1.1.3.1
TC,Limiter Bit Consistency Validation,description,Ecosystem SW *,Test Requirements: BIOS config/knobs for RAPL and limiter priority; OS kernel/scheduler settings; PCIe/graphics/storage drivers; registry keys and OS overrides.,1.1.3.1
TC,Limiter Bit Consistency Validation,description,Test HW Requirements and HW Configuration *,"Platform with correct SoC stepping, TDP, topology, DIMMs, PCIe devices, thermal solution, debug instrumentation, and power measurement setup.",1.1.3.1
TC,Status Field Update on Limiter Change,description,TC Description *,"When the most restrictive limit changes, verify that the limiter bit and LEAF_PERF_STATUS field update accordingly. Generate workloads to request frequencies above the new limit and monitor status field increments.",1.1.3.2
TC,Status Field Update on Limiter Change,description,Test Steps *,1. Boot platform and configure limits. 2. Change which limit is most restrictive by reprogramming limits. 3. Generate workloads to request frequencies above the new limit. 4. Sample RAPL_PERF_LIMIT HPM messages and LEAF_PERF_STATUS from CBBs and IMHs. 5. Observe status field updates. 6. Record and analyze results.,1.1.3.2
TC,Status Field Update on Limiter Change,description,Pass/Fail Criteria &amp; HW Errors *,Pass if limiter bit and status field update correctly when the most restrictive limit changes. Fail if status fields do not update or multiple limiters are reported.,1.1.3.2
TC,Status Field Update on Limiter Change,description,Intent Verify *,"Use PMON, Visa, and HPM message logs to confirm status field updates.",1.1.3.2
TC,Status Field Update on Limiter Change,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for status field updates.",1.1.3.2
TC,Status Field Update on Limiter Change,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS (latest), PMON, Perspec path, PythonSV, Supercollider, Prime95. OS utilities for register checks and stress patterns.",1.1.3.2
TC,Status Field Update on Limiter Change,description,Ecosystem SW *,Test Requirements: BIOS config/knobs for RAPL and limiter priority; OS kernel/scheduler settings; PCIe/graphics/storage drivers; registry keys and OS overrides.,1.1.3.2
TC,Status Field Update on Limiter Change,description,Test HW Requirements and HW Configuration *,"Platform with correct SoC stepping, TDP, topology, DIMMs, PCIe devices, thermal solution, debug instrumentation, and power measurement setup.",1.1.3.2
TC,Active Limiter Status Reporting,description,TC Description *,"At each configuration, verify that LEAF_PERF_STATUS increments only for the active limiter and no more than one perf status field counts up for the same duration.",1.1.3.3
TC,Active Limiter Status Reporting,description,Test Steps *,1. Boot platform and configure limits. 2. Program different combinations of limits. 3. Generate workloads to request frequencies above the tightest limit. 4. Sample LEAF_PERF_STATUS HPM messages from CBBs and IMHs. 5. Observe which status field increments. 6. Record and analyze results.,1.1.3.3
TC,Active Limiter Status Reporting,description,Pass/Fail Criteria &amp; HW Errors *,Pass if only one perf status field increments for the active limiter. Fail if multiple status fields increment or status reporting is inconsistent.,1.1.3.3
TC,Active Limiter Status Reporting,description,Intent Verify *,"Use PMON, Visa, and HPM message logs to confirm active limiter status reporting.",1.1.3.3
TC,Active Limiter Status Reporting,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for status reporting consistency.",1.1.3.3
TC,Active Limiter Status Reporting,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS (latest), PMON, Perspec path, PythonSV, Supercollider, Prime95. OS utilities for register checks and stress patterns.",1.1.3.3
TC,Active Limiter Status Reporting,description,Ecosystem SW *,Test Requirements: BIOS config/knobs for RAPL and limiter priority; OS kernel/scheduler settings; PCIe/graphics/storage drivers; registry keys and OS overrides.,1.1.3.3
TC,Active Limiter Status Reporting,description,Test HW Requirements and HW Configuration *,"Platform with correct SoC stepping, TDP, topology, DIMMs, PCIe devices, thermal solution, debug instrumentation, and power measurement setup.",1.1.3.3
TCD,Negative Test: Attempt to Override Locked RAPL Limit,description,Description *,Validate that locked RAPL limits cannot be overridden by in-band agents and the system maintains the locked limit.,1.1.4
TCD,Negative Test: Attempt to Override Locked RAPL Limit,description,Algorithm of Testing *,"Set and lock Socket RAPL limits via CSR, attempt to modify via in-band agent, and monitor HPM messages and status fields for changes.",1.1.4
TCD,Negative Test: Attempt to Override Locked RAPL Limit,description,Randomization *,Not applicable; single negative test flow.,1.1.4
TCD,Negative Test: Attempt to Override Locked RAPL Limit,description,Required Configurations and Dependencies *,BIOS configures and locks CSR interface with TDP/EDP characteristics; Socket RAPL enabled and running.,1.1.4
TCD,Negative Test: Attempt to Override Locked RAPL Limit,description,Coverage *,Monitor RAPL_PERF_LIMIT and LEAF_PERF_STATUS HPM messages; verify no change occurs after override attempt.,1.1.4
TCD,Negative Test: Attempt to Override Locked RAPL Limit,description,Cross-Feature Interaction *,BIOS locks CSR; in-band agent attempts override; PCU algorithm enforces most restrictive limit.,1.1.4
TCD,Negative Test: Attempt to Override Locked RAPL Limit,description,DFx Requirements *,Lock bits set in CSR path; writes from locked source disabled; reads permitted.,1.1.4
TCD,Negative Test: Attempt to Override Locked RAPL Limit,description,Negative Testing *,Attempt to override locked limit and verify system ignores the attempt.,1.1.4
TC,Locked Limit Override Attempt,description,TC Description *,"Configure BIOS to lock CSR interface with TDP and EDP characteristics. Enable Socket RAPL and set initial limits via CSR. Attempt to modify the RAPL limit via in-band agent (e.g., MSR write) while the lock bit is set. Keep power consumption constant. Monitor RAPL_PERF_LIMIT HPM messages and LEAF_PERF_STATUS from CBBs.",1.1.4.1
TC,Locked Limit Override Attempt,description,Test Steps *,1. Boot platform and verify BIOS has locked CSR interface with TDP/EDP characteristics. 2. Enable Socket RAPL and set initial limits via CSR. 3. Attempt to modify RAPL limit via in-band agent (MSR write) while lock bit is set. 4. Keep power consumption constant. 5. Sample RAPL_PERF_LIMIT HPM messages and LEAF_PERF_STATUS from CBBs. 6. Record and analyze results.,1.1.4.1
TC,Locked Limit Override Attempt,description,Pass/Fail Criteria &amp; HW Errors *,Pass if no change in RAPL_PERF_LIMIT or LEAF_PERF_STATUS occurs and locked limit remains enforced. Fail if any change is observed or frequency/status changes occur.,1.1.4.1
TC,Locked Limit Override Attempt,description,Intent Verify *,"Use PMON, Visa, and HPM message logs to confirm locked limit enforcement and absence of override.",1.1.4.1
TC,Locked Limit Override Attempt,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for locked limit enforcement.",1.1.4.1
TC,Locked Limit Override Attempt,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS (latest), PMON, Perspec path, PythonSV, Supercollider. OS utilities for register checks.",1.1.4.1
TC,Locked Limit Override Attempt,description,Ecosystem SW *,Test Requirements: BIOS config/knobs for RAPL and CSR lock; OS kernel/scheduler settings; PCIe/graphics/storage drivers; registry keys and OS overrides.,1.1.4.1
